ballpoint_pen_(medium),5,870,ballpoint_pen
annotation_request,5,847,
aliasing,5,839,"resampling_artifacts,resizing_artifacts"
enty_reward,5,835,
merchandise_available,5,822,
guest_art,5,794,
60+fps,5,787,
tumblr_sample,5,773,
watercolor_pencil_(medium),5,767,"watercolor_pencil,watercolour_pencil"
koikatsu_(medium),5,762,koikatu
waifu2x,5,741,
calligraphy_brush_(medium),5,739,
twitter_sample,5,734,
mikumikudance_(medium),5,726,
ruffle_compatible,5,718,
pastel_(medium),5,690,
game_screenshot,5,670,
corrupted_metadata,5,669,corrupted_exif_data
self-portrait,5,655,self_portrait
bad_lofter_id,5,649,
bad_yandere_id,5,644,
source_filmmaker_(medium),5,642,
comic_panel_redraw,5,629,manga_panel_redraw
hard-translated_(non-english),5,628,hard_translated_(non-english)
source_mismatch,5,615,
extraction,5,612,
bad_bcy_id,5,606,
eyecatch,5,606,eye_catch
reverse_translation,5,602,
artstation_sample,5,587,
bmp-to-png_conversion,5,582,
music_video,5,578,
bad_weibo_id,5,567,
pdf_available,5,565,
completion_time,5,565,drawing_time
e-hentai_sample,5,564,ehentai_sample
art_study,5,563,
object_request,5,548,
spine_(medium),5,534,
deviantart_sample,5,524,
screenshot,5,517,
costume_request,5,500,
yandere_sample,5,494,
indonesian_commentary,5,490,
papercraft_(medium),5,488,
vehicle_request,5,474,
parody_request,5,461,
headshop,5,454,
partially_annotated,5,441,
tegaki_draw_and_tweet,5,437,
rotated,5,433,
bad_artstation_id,5,428,
bad_hentai-foundry_id,5,419,
bad_instagram_id,5,411,
adoptable,5,408,
cosplay_request,5,398,
emofuri,5,392,
french_commentary,5,379,
exif_rotation,5,379,
game_model,5,373,
ugoira_conversion,5,347,
medium_request,5,344,
epilepsy_warning,5,339,"flashing_lights,seizure_warning,strobing_lights"
corrupted_file,5,334,"corrupted_image,corrupted_video"
psd_available,5,324,
thumbnail_collage,5,311,twitter_thumbnail_collage
portuguese_commentary,5,307,
vgen_commission,5,296,
bad_daum_id,5,294,
microsoft_paint_(medium),5,291,"ms_paint_(medium),mspaint_(medium)"
figure_available,5,291,
german_commentary,5,282,
audible_internal_cumshot,5,280,
gesture_request,5,271,
color_ink_(medium),5,270,
animated_png,5,268,
bilingual_commentary,5,262,
hairstyle_request,5,253,"hair_request,hair_style_request"
gif_artifacts,5,247,
zbrush_(medium),5,246,
nicoseiga_sample,5,244,
reversed,5,244,
app_filter,5,242,
gumroad_reward,5,239,
bad_fantia_id,5,232,
countdown_illustration,5,227,
bird_request,5,225,
bad_fanbox_id,5,215,
art_trade,5,212,
custom_maid_3d_2,5,205,
color_halftone,5,203,screening
stable_diffusion,5,200,
flash_game,5,200,game
has_cropped_revision,5,199,
vietnamese_commentary,5,199,
krita_(medium),5,199,
bad_aspect_ratio,5,199,
plant_request,5,198,
nai_diffusion,5,196,
collaboration_request,5,190,
flipnote_studio_(medium),5,189,
animal_request,5,187,
zip_available,5,184,
fixed,5,181,
volume_warning,5,178,
check_gender,5,175,
